Reactant1;Reactant2;Product;Yield;M;L;T;S;A;id
BrC1=CC=CC(Br)=N1;Br[Zn]C1=NC=CC=C1;BrC1=CC=CC(=N1)C1=NC=CC=C1;0.54;[0];[];[53];[60];[];1
BrC1=CC=CC(=N1)C1=NC(Br)=CC=C1;Br[Zn]C1=NC=CC=C1;BrC1=NC(=CC=C1)C1=NC(=CC=C1)C1=NC=CC=C1;0.524;[0];[];[53];[60];[];2
ClC1=CC=C(C=C1)C#N;Cl[Zn]C1=CC=CC=C1;N#CC1=CC=C(C=C1)C1=CC=CC=C1;0.65;[21];[];[52];[60];[];3
COCOC1=CC(OCOC)=C(Br)C(C)=C1;Br[Zn]C1CCCCC1;COCOC1=CC(OCOC)=C(C2CCCCC2)C(C)=C1;0.85;[3];[40];[53];[60];[];4
Cl[Zn]C#C;I\C=C\CCOC1CCCCO1;C#C\C=C\CCOC1CCCCO1;0.91;[];[];[53, 53, 53];[60];[];5
ClC1=NC=CC(I)=C1;CC(C)(C[Zn]Br)C(F)(F)F;CC(C)(CC1=CC(Cl)=NC=C1)C(F)(F)F;0.92;[3];[33];[52];[60];[];6
COC(=O)C1=C(I)C=CC(Br)=C1;CC[Zn]CC;CCC1=C(C=C(Br)C=C1)C(=O)OC;0.96;[5];[];[56];[66];[];7
BrC1=CN=C2N=C(OC2=C1)N1CCN2CCC1CC2;N#C[Zn]C#N;N#CC1=CC2=C(N=C(O2)N2CCN3CCC2CC3)N=C1;0.78;[5];[];[59];[61];[];8
CC1=CC(CC(OC(=O)N2CCC(CC2)N2CC3=C(NC2=O)C(F)=CC=C3)C2=NC(Br)=CC=C2)=CC2=C1NN=C2;N#C[Zn]C#N;CC1=CC(CC(OC(=O)N2CCC(CC2)N2CC3=C(NC2=O)C(F)=CC=C3)C2=NC(=CC=C2)C#N)=CC2=C1NN=C2;0.97;[0];[];[59];[61];[];9
CCC1=C(C(=O)N2CCCC12CC1=CC=C(Br)C=C1)C1=CC(Cl)=CC(Cl)=C1;N#C[Zn]C#N;CCC1=C(C(=O)N2CCCC12CC1=CC=C(C=C1)C#N)C1=CC(Cl)=CC(Cl)=C1;0.7;[0];[];[59];[61];[];11
N#C[Zn]C#N;[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2C(=O)C2=C1C=C(OS(=O)(=O)C(F)(F)F)C=C2;[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2C(=O)C2=C1C=C(C=C2)C#N;0.895;[0];[];[59];[61];[];12
[H][C@@]12CCCC[C@@]11CCN(C\C=C(/C)C)[C@@H]2C(=O)C2=C1C=C(OS(=O)(=O)C(F)(F)F)C=C2;N#C[Zn]C#N;[H][C@@]12CCCC[C@@]11CCN(C\C=C(/C)C)[C@@H]2C(=O)C2=C1C=C(C=C2)C#N;0.863;[0];[];[59];[61];[];13
