,mordred_descriptor,fi_score
0,product_JGI6,6.946341463414634
1,product_JGI3,6.087804878048781
2,product_JGI7,5.780487804878049
3,product_JGI4,5.5268292682926825
4,product_JGI5,5.131707317073171
5,product_CIC3,5.082926829268293
6,product_JGI8,5.053658536585366
7,product_JGI2,4.912195121951219
8,product_ATSC8d,4.741463414634146
9,product_JGI9,4.702439024390244
10,product_ATSC2dv,4.419512195121952
11,product_ATSC4dv,4.360975609756098
12,product_PEOE_VSA8,4.234146341463415
13,product_JGI10,4.219512195121951
14,product_ATSC3dv,4.097560975609756
15,product_ATSC5i,4.082926829268293
16,product_ATSC7i,4.068292682926829
17,product_ATSC8i,4.048780487804878
18,product_fMF,3.9560975609756097
19,product_IC2,3.9121951219512194
20,product_ATSC6i,3.902439024390244
21,product_EState_VSA7,3.8878048780487804
22,product_CIC4,3.848780487804878
23,product_JGI1,3.8048780487804876
24,product_ATSC7dv,3.7853658536585364
25,rdfred_2_ATSC4v,3.770731707317073
26,product_MIC1,3.7609756097560973
27,rdfred_2_ATSC5p,3.7609756097560973
28,product_ATSC6dv,3.7560975609756095
29,product_ZMIC2,3.7560975609756095
30,product_AATSC0i,3.7560975609756095
31,product_ATSC3d,3.7512195121951217
32,product_ATSC4i,3.7512195121951217
33,product_ATSC4v,3.7365853658536587
34,product_ATSC8dv,3.7365853658536587
35,product_ATSC6d,3.7365853658536587
36,product_ATSC5d,3.7121951219512197
37,product_ATSC8p,3.702439024390244
38,product_ATSC7v,3.682926829268293
39,product_ATSC7d,3.6634146341463416
40,product_ATSC2d,3.658536585365854
41,product_JGT10,3.648780487804878
42,product_ATSC3i,3.6439024390243904
43,product_ATSC5dv,3.6097560975609757
44,rdfred_2_ATSC5i,3.580487804878049
45,product_ATSC1i,3.575609756097561
46,product_ATSC8se,3.575609756097561
47,product_ATSC7p,3.575609756097561
48,product_IC1,3.575609756097561
49,rdfred_2_JGI3,3.5707317073170732
50,product_ATSC5v,3.5658536585365854
51,product_CIC2,3.5365853658536586
52,product_ATSC6p,3.5121951219512195
53,product_ATSC4p,3.5121951219512195
54,rdfred_2_ATSC5v,3.4292682926829268
55,product_ATSC4d,3.419512195121951
56,rdfred_1_ATSC4v,3.4097560975609755
57,rdfred_2_ATSC4p,3.3902439024390243
58,product_ATSC6se,3.3804878048780487
59,product_ATSC8v,3.3804878048780487
60,product_ATSC7m,3.3658536585365852
61,rdfred_2_ATSC5Z,3.341463414634146
62,rdfred_2_ATSC4i,3.321951219512195
63,product_EState_VSA6,3.321951219512195
64,rdfred_2_ATSC7m,3.317073170731707
65,rdfred_2_ATSC5dv,3.3073170731707315
66,rdfred_2_ATSC6dv,3.297560975609756
67,rdfred_1_ATSC6m,3.292682926829268
68,rdfred_2_ATSC6m,3.292682926829268
69,rdfred_1_ATSC5se,3.2780487804878047
70,product_ATSC6v,3.268292682926829
71,product_ATSC5p,3.2439024390243905
72,rdfred_1_ATSC5dv,3.2390243902439027
73,rdfred_1_ATSC5p,3.2390243902439027
74,product_SssNH,3.2195121951219514
75,product_ATSC2i,3.209756097560976
76,rdfred_1_ATSC4p,3.2
77,product_PEOE_VSA7,3.15609756097561
78,product_ATSC7se,3.131707317073171
79,rdfred_2_ATSC6p,3.126829268292683
80,rdfred_1_ATSC1i,3.107317073170732
81,rdfred_1_ATSC5Z,3.097560975609756
82,product_IC3,3.097560975609756
83,rdfred_1_AATSC0i,3.097560975609756
84,product_ATSC3p,3.0926829268292684
85,product_ATSC3v,3.0829268292682928
86,rdfred_2_ATSC3dv,3.073170731707317
87,rdfred_1_ATSC7m,3.0682926829268293
88,rdfred_1_ATSC6dv,3.0634146341463415
89,product_FilterItLogS,3.0585365853658537
90,product_ATSC4se,3.0585365853658537
91,product_SdssC,3.0585365853658537
92,rdfred_2_AATSC0i,3.048780487804878
93,rdfred_1_ATSC5i,3.048780487804878
94,product_ZMIC3,3.0390243902439025
95,product_CIC5,3.0341463414634147
96,rdfred_1_ATSC3p,3.0341463414634147
97,product_ATSC2v,3.0195121951219512
98,rdfred_1_ATSC5v,3.0195121951219512
99,rdfred_1_ATSC3v,3.0195121951219512
100,rdfred_2_ATSC3p,3.0097560975609756
101,rdfred_1_ATSC3dv,3.004878048780488
102,product_AATSC0p,3.0
103,product_MIC2,2.9804878048780488
104,product_ATSC1d,2.970731707317073
105,rdfred_1_ATSC1p,2.9658536585365853
106,product_ATSC1dv,2.9609756097560975
107,rdfred_2_ATSC3v,2.951219512195122
108,product_ATSC1se,2.946341463414634
109,rdfred_2_ATSC5se,2.9414634146341463
110,product_SLogP,2.9365853658536585
111,rdfred_2_ATSC6v,2.9365853658536585
112,product_SaasC,2.9365853658536585
113,product_ATSC5se,2.926829268292683
114,rdfred_1_ATSC6p,2.921951219512195
115,rdfred_2_ATSC1v,2.9170731707317072
116,product_MIC0,2.9121951219512194
117,product_ATSC5Z,2.9121951219512194
118,rdfred_2_ATSC5d,2.9073170731707316
119,rdfred_2_ATSC4se,2.9073170731707316
120,product_GGI5,2.902439024390244
121,rdfred_1_ATSC4i,2.897560975609756
122,rdfred_2_ATSC5are,2.897560975609756
123,product_AATSC0d,2.897560975609756
124,rdfred_2_ATSC3i,2.868292682926829
125,rdfred_2_ATSC6i,2.8634146341463413
126,rdfred_2_ATSC6d,2.8634146341463413
127,rdfred_2_ATSC1i,2.8536585365853657
128,rdfred_2_ATSC4dv,2.848780487804878
129,product_AATS0d,2.8390243902439023
130,rdfred_2_CIC2,2.8341463414634145
131,product_ATSC3se,2.8146341463414632
132,rdfred_2_ATSC2i,2.8097560975609754
133,rdfred_1_ATSC6v,2.8048780487804876
134,product_ATSC0se,2.8
135,product_ATSC1p,2.7853658536585364
136,product_ATSC2p,2.765853658536585
137,rdfred_1_ATSC5are,2.7560975609756095
138,rdfred_2_ATSC2dv,2.7512195121951217
139,rdfred_1_CIC3,2.7414634146341466
140,rdfred_1_ATSC1m,2.726829268292683
141,rdfred_1_ATSC3se,2.726829268292683
142,product_ATSC6m,2.7219512195121953
143,product_ATSC8pe,2.7170731707317075
144,product_ATSC1v,2.707317073170732
145,product_EState_VSA4,2.702439024390244
146,rdfred_2_SsBr,2.702439024390244
147,rdfred_2_EState_VSA7,2.6926829268292685
148,product_AATSC0v,2.6878048780487807
149,rdfred_1_SsBr,2.678048780487805
150,rdfred_2_ATSC1p,2.6731707317073172
151,rdfred_2_ATSC3d,2.658536585365854
152,product_ATSC8Z,2.658536585365854
153,rdfred_1_EState_VSA7,2.653658536585366
154,product_VSA_EState9,2.6390243902439026
155,rdfred_2_ATSC6se,2.6390243902439026
156,product_ATSC2se,2.624390243902439
157,rdfred_2_BalabanJ,2.6195121951219513
158,rdfred_2_SdssC,2.6097560975609757
159,rdfred_1_ATSC4se,2.6097560975609757
160,rdfred_1_ATSC2p,2.604878048780488
161,rdfred_1_ATSC3d,2.604878048780488
162,product_EState_VSA5,2.6
163,product_ATSC4m,2.5951219512195123
164,rdfred_1_ATSC5pe,2.5902439024390245
165,rdfred_1_bpol,2.575609756097561
166,rdfred_2_SsCl,2.5707317073170732
167,rdfred_2_CIC3,2.5658536585365854
168,product_ATSC1pe,2.546341463414634
169,rdfred_1_JGI3,2.5414634146341464
170,product_ATSC2Z,2.5317073170731708
171,rdfred_1_ATSC2d,2.5317073170731708
172,rdfred_2_ATSC1m,2.521951219512195
173,rdfred_2_PEOE_VSA7,2.521951219512195
174,product_ATSC3m,2.5073170731707317
175,product_PEOE_VSA9,2.4878048780487805
176,rdfred_2_EState_VSA4,2.4878048780487805
177,rdfred_2_JGI6,2.4829268292682927
178,rdfred_1_ATSC1v,2.478048780487805
179,rdfred_2_CIC1,2.4682926829268292
180,product_IC5,2.4634146341463414
181,rdfred_2_ATSC2p,2.453658536585366
182,rdfred_1_ATSC4d,2.448780487804878
183,rdfred_2_ATSC2d,2.44390243902439
184,rdfred_1_ATSC5d,2.44390243902439
185,rdfred_2_SsNH2,2.4292682926829268
186,rdfred_1_SsCl,2.4292682926829268
187,product_BalabanJ,2.4292682926829268
188,rdfred_2_ATSC1pe,2.424390243902439
189,rdfred_1_ATSC2i,2.419512195121951
190,product_Xc-3dv,2.4146341463414633
191,rdfred_1_SdssC,2.4146341463414633
192,product_ATSC4pe,2.4146341463414633
193,rdfred_2_ATSC7dv,2.4146341463414633
194,rdfred_2_ATSC3se,2.4097560975609755
195,product_ATSC3pe,2.4097560975609755
196,product_ATSC6pe,2.4097560975609755
197,rdfred_1_CIC2,2.4097560975609755
198,rdfred_2_ATSC5m,2.4048780487804877
199,rdfred_2_JGI2,2.4
200,product_ATSC1m,2.395121951219512
201,rdfred_2_ATSC7i,2.395121951219512
202,rdfred_1_ATSC4dv,2.395121951219512
203,product_Xch-7dv,2.3902439024390243
204,rdfred_2_ATSC7p,2.3853658536585365
205,product_CIC1,2.3853658536585365
206,product_Mi,2.3658536585365852
207,rdfred_2_IC1,2.3609756097560974
208,product_TIC1,2.3609756097560974
209,rdfred_2_ATSC7v,2.3560975609756096
210,rdfred_2_ATSC1se,2.3560975609756096
211,rdfred_2_EState_VSA6,2.3560975609756096
212,rdfred_2_ATSC3pe,2.346341463414634
213,rdfred_2_ATSC4d,2.3365853658536584
214,product_AATS0p,2.3365853658536584
215,rdfred_1_ATSC3i,2.3317073170731706
216,product_ATSC5are,2.321951219512195
217,product_ATSC6are,2.317073170731707
218,rdfred_2_SssNH,2.3121951219512193
219,rdfred_1_EState_VSA6,2.3121951219512193
220,rdfred_1_ATSC7i,2.3121951219512193
221,rdfred_1_ATSC1are,2.3121951219512193
222,rdfred_1_ATSC3pe,2.3073170731707315
223,rdfred_2_ATSC4m,2.3024390243902437
224,product_SMR_VSA7,2.3024390243902437
225,product_SsNH2,2.3024390243902437
226,rdfred_2_bpol,2.3024390243902437
227,rdfred_2_ATSC2se,2.3024390243902437
228,rdfred_1_ATSC5m,2.292682926829268
229,product_IC0,2.2878048780487803
230,rdfred_2_ATSC2v,2.2829268292682925
231,rdfred_1_ATSC1se,2.2780487804878047
232,product_AATSC0Z,2.273170731707317
233,product_ATSC7Z,2.2536585365853656
234,rdfred_2_ATSC7d,2.2439024390243905
235,product_ATSC1are,2.2439024390243905
236,rdfred_2_ATSC5pe,2.2390243902439027
237,rdfred_1_ATSC1pe,2.234146341463415
238,product_ATSC3are,2.2243902439024392
239,rdfred_2_PEOE_VSA8,2.2195121951219514
240,rdfred_1_ATSC3are,2.2146341463414636
241,product_ATSC7are,2.209756097560976
242,rdfred_2_ATSC4pe,2.204878048780488
243,rdfred_2_ATSC3m,2.2
244,rdfred_2_JGI5,2.2
245,product_ZMIC4,2.2
246,product_SlogP_VSA2,2.180487804878049
247,product_AATSC0dv,2.180487804878049
248,product_ATSC4are,2.180487804878049
249,rdfred_1_ATSC2v,2.175609756097561
250,rdfred_1_ATSC3m,2.1707317073170733
251,rdfred_1_ATSC7p,2.1658536585365855
252,product_ATSC7pe,2.1609756097560977
253,product_EState_VSA8,2.151219512195122
254,rdfred_1_ATSC6Z,2.151219512195122
255,rdfred_1_ATSC1dv,2.1463414634146343
256,rdfred_2_ATSC2Z,2.1414634146341465
257,product_ATSC8are,2.1414634146341465
258,rdfred_2_ATSC1are,2.1414634146341465
259,rdfred_1_ATSC6i,2.126829268292683
260,product_GGI4,2.1170731707317074
261,rdfred_1_SaaNH,2.107317073170732
262,rdfred_1_ATSC2dv,2.107317073170732
263,product_ATSC2pe,2.107317073170732
264,rdfred_2_JGI1,2.097560975609756
265,product_SaasN,2.0878048780487806
266,rdfred_2_SaasC,2.0829268292682928
267,product_PEOE_VSA1,2.078048780487805
268,rdfred_1_ATSC6se,2.078048780487805
269,rdfred_2_JGI9,2.073170731707317
270,rdfred_1_ATSC6pe,2.0585365853658537
271,rdfred_2_SLogP,2.0585365853658537
272,rdfred_1_VSA_EState9,2.0585365853658537
273,rdfred_2_ATSC1dv,2.0439024390243903
274,rdfred_2_AATSC0dv,2.0439024390243903
275,rdfred_1_PEOE_VSA8,2.0390243902439025
276,product_AATS0v,2.029268292682927
277,rdfred_2_AATSC0v,2.029268292682927
278,rdfred_1_ATSC4m,2.024390243902439
279,product_PEOE_VSA10,2.024390243902439
280,rdfred_1_ATSC7dv,2.0195121951219512
281,product_Mp,2.0097560975609756
282,product_SaaCH,2.004878048780488
283,product_Mv,2.0
284,product_MIC5,1.9951219512195122
285,rdfred_1_fMF,1.9902439024390244
286,rdfred_2_JGT10,1.9804878048780488
287,product_ATSC2m,1.975609756097561
288,rdfred_2_JGI4,1.9707317073170731
289,product_SMR_VSA6,1.9658536585365853
290,rdfred_2_ATSC3Z,1.9658536585365853
291,product_ATSC5pe,1.9658536585365853
292,rdfred_1_SLogP,1.9658536585365853
293,rdfred_1_ATSC6d,1.9609756097560975
294,rdfred_2_VSA_EState9,1.9560975609756097
295,rdfred_1_AATSC0dv,1.946341463414634
296,rdfred_2_ATSC6pe,1.9414634146341463
297,product_MIC3,1.9268292682926829
298,rdfred_2_ATSC8d,1.9268292682926829
299,product_ZMIC1,1.9268292682926829
300,product_Xc-5dv,1.921951219512195
301,product_ATSC8m,1.9170731707317072
302,rdfred_1_ATSC2se,1.9121951219512194
303,rdfred_1_ATSC2Z,1.9073170731707316
304,rdfred_2_ATSC7se,1.9073170731707316
305,rdfred_1_IC1,1.9073170731707316
306,product_EState_VSA3,1.8926829268292682
307,rdfred_2_ATSC6are,1.8829268292682926
308,rdfred_1_MIC0,1.8780487804878048
309,rdfred_1_EState_VSA4,1.8780487804878048
310,rdfred_1_EState_VSA8,1.8682926829268294
311,product_Xch-7d,1.8682926829268294
312,rdfred_2_IC0,1.8682926829268294
313,rdfred_1_PEOE_VSA7,1.8634146341463416
314,rdfred_2_ZMIC2,1.853658536585366
315,rdfred_1_JGI6,1.853658536585366
316,rdfred_2_fMF,1.853658536585366
317,product_SssCH2,1.853658536585366
318,product_ATSC5m,1.8487804878048781
319,rdfred_1_ATSC7v,1.8487804878048781
320,product_SsssN,1.8487804878048781
321,rdfred_2_ATSC3are,1.8439024390243903
322,rdfred_2_AATS0d,1.8439024390243903
323,product_SsCl,1.8439024390243903
324,rdfred_2_ATSC8dv,1.8390243902439025
325,rdfred_2_JGI7,1.8390243902439025
326,rdfred_2_PEOE_VSA6,1.824390243902439
327,product_ATSC4Z,1.8195121951219513
328,rdfred_2_MIC0,1.8195121951219513
329,rdfred_2_EState_VSA5,1.8048780487804879
330,rdfred_2_FilterItLogS,1.8048780487804879
331,rdfred_2_CIC4,1.7951219512195122
332,rdfred_1_JGI2,1.7902439024390244
333,product_AATS0dv,1.7853658536585366
