,mordred_descriptor,fi_score
0,product_JGI6,12.212121212121213
1,product_JGI3,11.52020202020202
2,product_JGI7,10.626262626262626
3,product_JGI4,10.090909090909092
4,product_JGI5,9.318181818181818
5,product_JGI2,9.146464646464647
6,product_CIC3,9.05050505050505
7,product_JGI8,9.0
8,product_ATSC5i,8.97979797979798
9,product_PEOE_VSA8,8.969696969696969
10,product_ATSC7i,8.904040404040405
11,product_ATSC8d,8.606060606060606
12,product_ATSC6d,8.44949494949495
13,product_JGI9,8.166666666666666
14,product_ATSC2dv,8.116161616161616
15,product_ATSC8i,8.090909090909092
16,product_JGI10,8.06060606060606
17,product_ATSC4dv,8.015151515151516
18,product_ATSC3dv,7.494949494949495
19,product_ATSC4i,7.41919191919192
20,product_ATSC5v,7.202020202020202
21,product_ATSC7v,7.186868686868687
22,product_ATSC5d,7.1767676767676765
23,product_ATSC7p,7.121212121212121
24,product_ATSC6dv,7.05050505050505
25,product_ZMIC2,7.045454545454546
26,product_ATSC2d,7.015151515151516
27,product_IC2,7.01010101010101
28,product_ATSC6i,6.97979797979798
29,product_ATSC6p,6.843434343434343
30,rdfred_1_ATSC1m,6.843434343434343
31,product_ATSC8p,6.752525252525253
32,product_ATSC7d,6.752525252525253
33,product_ATSC3d,6.747474747474747
34,product_ATSC4p,6.722222222222222
35,product_EState_VSA7,6.722222222222222
36,product_ZMIC3,6.646464646464646
37,product_ATSC5p,6.590909090909091
38,product_ATSC8dv,6.570707070707071
39,product_ATSC7se,6.540404040404041
40,rdfred_2_ATSC4p,6.525252525252525
41,product_ATSC2i,6.459595959595959
42,product_ATSC4v,6.4393939393939394
43,product_ATSC6se,6.434343434343434
44,product_ATSC8se,6.414141414141414
45,product_ATSC3i,6.383838383838384
46,product_CIC4,6.373737373737374
47,product_IC3,6.363636363636363
48,product_ATSC7dv,6.363636363636363
49,product_ATSC1i,6.287878787878788
50,rdfred_2_ATSC5v,6.232323232323233
51,product_ATSC4d,6.2272727272727275
52,rdfred_2_ATSC4v,6.191919191919192
53,product_ATSC5dv,6.1767676767676765
54,product_fMF,6.156565656565657
55,product_ATSC3p,6.116161616161616
56,product_AATSC0i,6.111111111111111
57,product_ATSC6v,6.095959595959596
58,product_CIC2,6.05050505050505
59,product_MIC1,6.03030303030303
60,rdfred_2_ATSC4i,6.025252525252525
61,product_PEOE_VSA7,6.005050505050505
62,product_ATSC1dv,5.98989898989899
63,rdfred_1_ATSC4i,5.959595959595959
64,product_ATSC8v,5.924242424242424
65,product_JGT10,5.91919191919192
66,product_ATSC4se,5.838383838383838
67,product_SdssC,5.8232323232323235
68,rdfred_1_ATSC5i,5.808080808080808
69,product_ATSC5se,5.803030303030303
70,product_ATSC3se,5.777777777777778
71,product_AATSC0p,5.696969696969697
72,product_ATSC2p,5.691919191919192
73,product_FilterItLogS,5.686868686868687
74,product_IC1,5.656565656565657
75,product_ATSC1se,5.621212121212121
76,product_EState_VSA4,5.611111111111111
77,product_JGI1,5.606060606060606
78,rdfred_2_ATSC6m,5.606060606060606
79,rdfred_1_ATSC4v,5.601010101010101
80,product_ATSC3v,5.575757575757576
81,rdfred_2_ATSC6i,5.575757575757576
82,product_ATSC7m,5.570707070707071
83,product_SssNH,5.570707070707071
84,rdfred_2_ATSC5se,5.570707070707071
85,rdfred_2_ATSC5dv,5.5353535353535355
86,rdfred_2_ATSC1m,5.53030303030303
87,product_ATSC1d,5.48989898989899
88,rdfred_2_ATSC4se,5.47979797979798
89,rdfred_2_ATSC6dv,5.474747474747475
90,rdfred_2_ATSC5Z,5.44949494949495
91,rdfred_1_ATSC5dv,5.4393939393939394
92,product_ATSC2v,5.429292929292929
93,rdfred_2_ATSC5p,5.41919191919192
94,product_SaasC,5.393939393939394
95,rdfred_2_ATSC3i,5.358585858585859
96,rdfred_1_ATSC3v,5.318181818181818
