,mordred_descriptor,fi_score
0,product_JGI6,9.646464646464647
1,product_JGI7,8.48989898989899
2,product_JGI4,7.858585858585859
3,product_JGI5,7.686868686868687
4,product_JGI3,7.085858585858586
5,product_ATSC8d,7.070707070707071
6,product_JGI8,6.873737373737374
7,product_CIC3,6.55050505050505
8,product_JGI2,6.46969696969697
9,product_ATSC8i,6.262626262626263
10,product_ATSC5i,6.191919191919192
11,product_EState_VSA7,6.126262626262626
12,product_JGI9,6.111111111111111
13,product_ATSC7i,6.055555555555555
14,product_ATSC4i,5.904040404040404
15,product_ATSC4dv,5.898989898989899
16,product_ATSC7p,5.863636363636363
17,product_PEOE_VSA8,5.848484848484849
18,product_ATSC8dv,5.803030303030303
19,product_ATSC3dv,5.803030303030303
20,product_ATSC6i,5.797979797979798
21,product_JGI10,5.762626262626263
22,product_ATSC8p,5.686868686868687
23,product_ATSC2dv,5.681818181818182
24,product_ATSC6d,5.661616161616162
25,rdfred_2_ATSC5p,5.590909090909091
26,product_ATSC3d,5.540404040404041
27,product_CIC4,5.282828282828283
28,product_ATSC7dv,5.267676767676767
29,rdfred_2_ATSC4p,5.242424242424242
30,rdfred_2_ATSC5v,5.237373737373737
31,product_ATSC3i,5.212121212121212
32,product_ATSC7se,5.207070707070707
33,rdfred_2_ATSC5i,5.207070707070707
34,product_ATSC5v,5.191919191919192
35,product_ATSC8v,5.181818181818182
36,product_ATSC7d,5.161616161616162
37,product_ATSC6dv,5.146464646464646
38,product_ATSC2d,5.121212121212121
39,rdfred_1_ATSC5i,5.116161616161616
40,product_ATSC8se,5.106060606060606
41,product_ATSC5dv,5.045454545454546
42,rdfred_1_ATSC5p,5.015151515151516
43,product_ATSC4v,5.01010101010101
44,product_ATSC7v,5.005050505050505
45,rdfred_1_ATSC5se,4.9393939393939394
46,product_ATSC5d,4.934343434343434
47,rdfred_2_ATSC3dv,4.924242424242424
48,product_ZMIC2,4.91919191919192
49,rdfred_2_ATSC6dv,4.909090909090909
50,product_ATSC5p,4.909090909090909
51,rdfred_1_ATSC4p,4.904040404040404
52,product_IC2,4.878787878787879
53,product_ATSC3p,4.873737373737374
54,product_ATSC4p,4.8232323232323235
55,product_MIC1,4.818181818181818
56,product_EState_VSA4,4.792929292929293
57,rdfred_2_ATSC4i,4.767676767676767
58,product_AATSC0p,4.747474747474747
59,product_ATSC3se,4.737373737373737
60,rdfred_2_ATSC6m,4.722222222222222
61,rdfred_2_ATSC5se,4.712121212121212
62,rdfred_2_JGI3,4.6767676767676765
