,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,M1,M_NULL,L_NULL,M2,B1,S1,L1,M3,B3,B2,M4,S13,A7,A_NULL,A1
1,B4,B_NULL,S_NULL,L3,L2,S3,S2,S4,L7,B5,S17,A16,M8,A2,S5
2,L16,L4,S10,S6,B8,M5,L24,B6,L31,S7,L26,S12,A13,B9,A19
3,A23,M26,M14,L10,M36,L28,S15,M7,A70,M39,A73,M11,A52,A74,M16
4,M6,S9,M23,L35,A69,S8,L5,L15,L8,M12,M20,L18,B12,A49,L19
5,A46,A35,L44,B7,A29,L34,A9,L6,A18,S20,M13,A20,A26,L42,M44
6,S11,A67,A11,B11,S16,M33,M10,L29,A40,M15,L23,L9,M24,L25,M21
7,L13,A65,L11,M17,S19,L43,L32,L40,M18,A34,M9,A42,L36,S14,M19
8,L12,S18,M43,B10,A17,A56,L14,A62,A22,L17,A72,A43,L20,S21,A10
9,M29,M28,A60,L22,A6,L41,M30,L21,A33,A53,S22,A32,B13,A12,A8
10,L27,L30,A15,L33,L46,L38,L37,A21,M22,M25,M27,A24,L39,M31,M34
11,M32,M37,A31,A30,M35,M38,A36,M40,A38,M42,L45,A39,A41,M41,A37
12,A48,A44,A45,A47,A50,A51,A54,A55,L47,A57,A59,A61,A64,A66,A58
13,A63,A68,A71,A3,A4,A5,A14,A25,A27,A28,None,None,None,None,None
14,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
