,mordred_descriptor,fi_score
0,rdfred_1_ATS0Z,52.61904761904762
1,rdfred_2_ATSC1se,52.38095238095238
2,rdfred_2_ATSC1i,46.352380952380955
3,rdfred_2_ATSC3p,42.78095238095238
4,rdfred_2_ATSC4d,40.17142857142857
5,rdfred_1_ZMIC2,39.114285714285714
6,product_MIC1,38.44761904761905
7,product_JGI3,38.31428571428572
8,product_JGI5,37.80952380952381
9,product_JGI4,37.2952380952381
10,rdfred_2_ATSC3v,37.2
11,rdfred_1_AATSC0i,37.03809523809524
12,product_JGI6,36.161904761904765
13,rdfred_1_MIC1,36.02857142857143
14,rdfred_1_ATSC1se,35.05714285714286
15,rdfred_1_IC0,35.02857142857143
16,rdfred_1_ATSC1m,34.15238095238095
17,product_ATSC2dv,34.01904761904762
18,product_AATSC0i,33.72380952380952
19,product_ATSC2se,33.65714285714286
20,product_SaasC,33.476190476190474
21,product_SLogP,33.46666666666667
22,product_AATS0d,33.0
23,product_IC2,32.457142857142856
24,product_fMF,32.02857142857143
25,rdfred_1_ATSC4m,31.35238095238095
26,product_ATSC8se,31.17142857142857
27,product_BalabanJ,31.01904761904762
28,product_PEOE_VSA7,30.514285714285716
29,product_JGI7,30.39047619047619
30,product_AATS0p,30.17142857142857
31,product_ATSC7se,30.085714285714285
32,product_ATSC6se,29.552380952380954
33,product_CIC3,29.409523809523808
34,product_AATSC0p,29.20952380952381
35,product_ATSC2i,29.076190476190476
36,product_JGI2,28.63809523809524
37,product_ATSC4se,28.62857142857143
38,rdfred_1_ATSC6se,28.61904761904762
39,product_EState_VSA4,28.34285714285714
40,product_ATSC4dv,28.34285714285714
41,product_ATSC5dv,28.266666666666666
42,rdfred_2_EState_VSA5,28.228571428571428
43,rdfred_1_ATSC3m,28.02857142857143
44,product_ATSC1se,27.914285714285715
45,product_PEOE_VSA8,27.752380952380953
46,product_ATSC3dv,27.333333333333332
47,rdfred_1_CIC2,27.142857142857142
48,product_SsssCH,26.78095238095238
49,rdfred_1_ATSC1i,26.571428571428573
50,product_ATSC6i,26.37142857142857
51,product_ATSC8i,26.247619047619047
52,rdfred_1_ATSC3dv,26.02857142857143
53,product_CIC2,25.79047619047619
54,product_EState_VSA5,25.61904761904762
55,product_JGI8,25.504761904761907
56,product_JGI1,25.36190476190476
57,rdfred_1_ATSC5dv,25.314285714285713
58,product_ATSC4i,25.20952380952381
59,product_ATSC8d,25.085714285714285
60,product_ATSC1i,24.79047619047619
61,rdfred_1_ATSC4p,24.64761904761905
62,rdfred_1_ATSC5p,24.60952380952381
63,product_CIC1,24.438095238095237
64,rdfred_1_ATSC3p,24.428571428571427
65,product_ATSC7i,24.076190476190476
66,product_SdssC,24.00952380952381
67,product_ATSC6dv,23.866666666666667
68,product_ATSC4d,23.83809523809524
69,product_ATSC2d,23.78095238095238
70,rdfred_1_ATSC4i,23.409523809523808
71,product_ATSC7v,23.257142857142856
72,product_ATSC8p,23.038095238095238
73,product_ATSC6d,23.00952380952381
74,rdfred_1_ATSC5i,22.97142857142857
75,product_ATSC7d,22.923809523809524
76,product_ATSC8dv,22.904761904761905
77,product_ATSC3i,22.895238095238096
78,product_EState_VSA7,22.666666666666668
79,product_ATSC5d,22.61904761904762
80,product_EState_VSA8,22.438095238095237
81,rdfred_1_ATSC3i,22.35238095238095
82,rdfred_1_SsBr,22.333333333333332
83,product_JGI10,22.304761904761904
84,product_JGI9,22.104761904761904
85,rdfred_1_ATSC3v,22.066666666666666
86,product_ATSC4v,22.0
87,product_ATSC5p,21.752380952380953
88,rdfred_1_ATSC4d,21.723809523809525
89,product_ATSC7p,21.552380952380954
90,product_ATSC5i,21.37142857142857
91,rdfred_1_ATSC4v,21.085714285714285
92,product_ATSC6p,20.942857142857143
93,rdfred_1_ATSC5v,20.885714285714286
94,product_ATSC4p,20.8
95,rdfred_1_ATSC6p,20.114285714285714
96,product_ATSC3p,19.63809523809524
97,product_ATSC3v,19.61904761904762
98,rdfred_1_ATSC6v,17.771428571428572
99,rdfred_1_SaaaC,16.238095238095237
