,mordred_descriptor,fi_score
0,product_JGI6,10.714285714285714
1,product_JGI4,10.019047619047619
2,rdfred_1_AATSC0i,9.209523809523809
3,product_JGI3,8.942857142857143
4,product_JGI5,8.714285714285714
5,product_ATSC8i,8.59047619047619
6,product_JGI7,8.133333333333333
7,product_ATSC3i,8.123809523809523
8,product_ATSC4i,8.0
9,product_ATSC8d,7.980952380952381
10,product_JGI2,7.9523809523809526
11,product_ATSC7i,7.857142857142857
12,product_ATSC2dv,7.828571428571428
13,product_JGI8,7.771428571428571
14,product_ATSC6i,7.695238095238095
15,product_PEOE_VSA7,7.685714285714286
16,product_fMF,7.6761904761904765
17,product_SaasC,7.571428571428571
18,product_ATSC4d,7.447619047619048
19,product_ATSC3v,7.238095238095238
20,product_EState_VSA5,7.228571428571429
21,product_ATSC5d,7.142857142857143
22,product_PEOE_VSA8,7.076190476190476
23,product_AATSC0i,6.9904761904761905
24,product_EState_VSA4,6.980952380952381
25,product_ATSC7p,6.895238095238096
26,rdfred_1_ATSC5p,6.895238095238096
27,rdfred_1_ZMIC2,6.895238095238096
28,rdfred_1_SsBr,6.895238095238096
29,rdfred_2_ATSC4d,6.733333333333333
30,rdfred_1_IC0,6.6380952380952385
31,rdfred_1_ATSC5i,6.6380952380952385
32,product_ATSC2i,6.580952380952381
33,product_ATSC1se,6.542857142857143
34,product_ATSC3dv,6.457142857142857
35,product_ATSC2d,6.4
36,rdfred_2_ATSC3v,6.390476190476191
37,product_ATSC7v,6.352380952380952
38,product_CIC2,6.3428571428571425
39,product_AATSC0p,6.3238095238095235
40,product_ATSC6d,6.314285714285714
41,product_ATSC7d,6.295238095238095
42,product_JGI1,6.276190476190476
43,product_BalabanJ,6.257142857142857
44,rdfred_2_ATSC3p,6.257142857142857
45,product_ATSC5dv,6.228571428571429
46,product_JGI10,6.161904761904762
47,rdfred_1_ATSC4m,6.152380952380953
48,product_ATSC5i,6.104761904761904
49,product_ATSC5p,6.085714285714285
50,rdfred_1_ATSC4v,6.0
51,product_ATSC6p,6.0
52,product_ATSC8se,5.980952380952381
53,product_MIC1,5.942857142857143
54,product_ATSC4p,5.942857142857143
55,product_IC2,5.923809523809524
56,product_ATSC4v,5.923809523809524
57,rdfred_1_ATSC6p,5.914285714285715
58,product_SLogP,5.904761904761905
59,rdfred_1_ATS0Z,5.885714285714286
60,rdfred_1_ATSC3p,5.866666666666666
61,product_EState_VSA7,5.857142857142857
62,product_EState_VSA8,5.857142857142857
63,rdfred_1_ATSC4p,5.847619047619047
64,product_CIC3,5.847619047619047
65,rdfred_1_ATSC3i,5.838095238095238
66,rdfred_1_ATSC3m,5.828571428571428
67,rdfred_1_ATSC4i,5.819047619047619
68,product_SsssCH,5.79047619047619
69,rdfred_1_MIC1,5.79047619047619
70,product_ATSC4dv,5.771428571428571
71,rdfred_1_ATSC3v,5.761904761904762
72,rdfred_1_ATSC5v,5.752380952380952
73,rdfred_1_ATSC5dv,5.733333333333333
74,rdfred_1_ATSC1se,5.704761904761905
75,rdfred_1_ATSC1i,5.704761904761905
76,product_ATSC8p,5.695238095238095
77,product_ATSC1i,5.6761904761904765
78,rdfred_1_ATSC6se,5.6761904761904765
79,rdfred_1_ATSC1m,5.6571428571428575
80,product_JGI9,5.6571428571428575
81,rdfred_2_ATSC1i,5.6571428571428575
82,product_ATSC3p,5.647619047619048
83,product_ATSC8dv,5.6
84,product_AATS0p,5.59047619047619
85,product_ATSC6dv,5.571428571428571
86,rdfred_1_ATSC6v,5.561904761904762
87,rdfred_1_ATSC3dv,5.552380952380952
88,rdfred_2_ATSC1se,5.552380952380952
89,product_ATSC6se,5.552380952380952
