,mordred_descriptor,fi_score
0,rdfred_2_GGI3,4.133333333333334
1,rdfred_1_NsssCH,4.0095238095238095
2,rdfred_1_Xch-3d,3.980952380952381
3,rdfred_1_EState_VSA1,3.961904761904762
4,rdfred_2_ATSC3m,3.914285714285714
5,rdfred_1_ZMIC3,3.8
6,product_n8HRing,3.780952380952381
7,rdfred_2_SsNH2,3.7714285714285714
8,rdfred_1_Diameter,3.7523809523809524
9,product_ATSC3i,3.5619047619047617
10,rdfred_1_ATSC2m,3.3142857142857145
11,product_SlogP_VSA8,3.1714285714285713
12,rdfred_2_EState_VSA10,3.142857142857143
13,rdfred_1_ATS6i,3.1333333333333333
14,rdfred_1_Xc-4dv,3.104761904761905
15,product_NdssS,3.066666666666667
16,rdfred_1_ATSC5Z,3.0095238095238095
17,product_SssssB,2.980952380952381
18,rdfred_2_Sare,2.961904761904762
19,rdfred_1_NssSiH2,2.933333333333333
20,product_ATSC2p,2.9047619047619047
21,rdfred_1_ATS1d,2.8857142857142857
22,product_ATS2are,2.876190476190476
23,rdfred_1_AATS0i,2.8476190476190477
24,rdfred_1_n7FAHRing,2.8095238095238093
25,rdfred_1_Xch-7d,2.8
26,product_ATSC6dv,2.7714285714285714
27,product_JGI6,2.761904761904762
28,product_MPC6,2.7523809523809524
29,product_NssssN,2.7333333333333334
30,rdfred_2_MZ,2.723809523809524
31,rdfred_1_n12HRing,2.7142857142857144
32,rdfred_1_nBridgehead,2.6952380952380954
33,product_ATS7dv,2.6952380952380954
34,rdfred_2_SRW02,2.6952380952380954
35,rdfred_1_n8AHRing,2.6952380952380954
36,rdfred_1_ATSC4p,2.6857142857142855
37,rdfred_1_Xc-5dv,2.6666666666666665
38,rdfred_1_IC0,2.6666666666666665
39,product_n8FRing,2.6476190476190475
40,rdfred_1_NdNH,2.6285714285714286
41,rdfred_1_CIC5,2.6285714285714286
42,rdfred_1_ATSC0m,2.6285714285714286
43,rdfred_2_Xp-3dv,2.6095238095238096
44,rdfred_1_ATSC6pe,2.6095238095238096
45,rdfred_1_nFRing,2.5904761904761906
46,rdfred_2_EState_VSA6,2.5904761904761906
47,rdfred_1_ATS6p,2.580952380952381
48,rdfred_2_AATSC0p,2.5238095238095237
49,rdfred_1_ATSC0Z,2.5238095238095237
50,product_ATS3v,2.5238095238095237
51,rdfred_1_NsOH,2.5142857142857142
52,rdfred_2_ATSC2i,2.5047619047619047
53,rdfred_2_FCSP3,2.4952380952380953
54,rdfred_2_Xch-6dv,2.4952380952380953
55,rdfred_1_NssssB,2.4761904761904763
56,rdfred_1_SlogP_VSA6,2.4761904761904763
57,product_nFRing,2.447619047619048
58,rdfred_1_piPC5,2.4380952380952383
59,rdfred_2_MPC3,2.4380952380952383
60,rdfred_1_nHeavyAtom,2.4285714285714284
61,product_Mp,2.419047619047619
62,rdfred_2_NssSe,2.4095238095238094
63,product_SsssB,2.4095238095238094
64,product_Xc-4d,2.4
65,rdfred_1_ATS7se,2.4
66,rdfred_1_SssSe,2.3904761904761904
67,product_Mse,2.3904761904761904
68,rdfred_1_n7ARing,2.3904761904761904
69,rdfred_2_TMWC10,2.3904761904761904
70,rdfred_1_ATS7d,2.380952380952381
71,rdfred_1_SlogP_VSA7,2.3714285714285714
72,rdfred_1_ATSC0dv,2.3714285714285714
73,rdfred_2_n3AHRing,2.3714285714285714
74,rdfred_1_MWC04,2.3714285714285714
75,product_n10ARing,2.361904761904762
76,rdfred_1_ATSC2v,2.361904761904762
77,rdfred_1_NaasN,2.361904761904762
78,rdfred_1_NdssS,2.323809523809524
79,rdfred_2_PEOE_VSA13,2.3142857142857145
80,rdfred_2_Xch-7d,2.3047619047619046
81,product_NsssN,2.295238095238095
82,rdfred_1_SlogP_VSA8,2.295238095238095
83,rdfred_1_n12FHRing,2.2857142857142856
84,rdfred_1_ATS4i,2.2857142857142856
85,product_ATS0d,2.2857142857142856
86,rdfred_1_ATS3are,2.2857142857142856
87,rdfred_1_SMR_VSA9,2.2666666666666666
88,rdfred_1_JGI6,2.257142857142857
89,rdfred_1_ZMIC2,2.2
90,rdfred_2_SssssSn,2.1904761904761907
91,rdfred_2_nG12aRing,2.1809523809523808
92,rdfred_2_NsI,2.1809523809523808
93,rdfred_2_nHRing,2.1809523809523808
94,rdfred_1_TIC5,2.1809523809523808
95,rdfred_1_C1SP1,2.1714285714285713
96,product_Xp-6d,2.1523809523809523
97,rdfred_2_ATS0p,2.142857142857143
98,rdfred_1_ATSC5v,2.142857142857143
99,product_StsC,2.142857142857143
100,rdfred_2_ATS1p,2.123809523809524
101,rdfred_1_ATSC1pe,2.123809523809524
102,product_AATS0i,2.123809523809524
103,product_n11FARing,2.123809523809524
104,rdfred_2_ATSC5dv,2.123809523809524
105,rdfred_1_n9FaRing,2.104761904761905
106,product_ATS6p,2.104761904761905
107,rdfred_1_n9ARing,2.104761904761905
108,rdfred_1_NaaNH,2.104761904761905
109,product_ATSC2v,2.0952380952380953
110,rdfred_2_NaaN,2.0952380952380953
