,mordred_descriptor,fi_score
0,product_ATSC7i,8.476190476190476
1,rdfred_1_ATSC4p,8.428571428571429
2,product_JGI6,8.361904761904762
3,product_JGI3,7.847619047619047
4,product_JGI4,7.819047619047619
5,product_JGI5,7.523809523809524
6,product_JGI8,7.228571428571429
7,product_JGI7,7.190476190476191
8,product_ATSC4dv,7.180952380952381
9,product_ATSC8i,7.095238095238095
10,product_JGI9,6.961904761904762
11,rdfred_1_EState_VSA6,6.828571428571428
12,product_EState_VSA7,6.8
13,product_EState_VSA4,6.704761904761905
14,product_ATSC5i,6.666666666666667
15,product_ATSC6se,6.6380952380952385
16,product_ATSC1se,6.438095238095238
17,product_JGI2,6.419047619047619
18,product_ATSC7se,6.3619047619047615
19,product_ATSC6dv,6.3428571428571425
20,product_ATSC2dv,6.3238095238095235
21,product_PEOE_VSA7,6.180952380952381
22,product_ATSC2i,6.104761904761904
23,product_ATSC6i,6.104761904761904
24,rdfred_1_ATSC3p,6.0
25,product_ATSC8d,5.9904761904761905
26,product_ATSC7p,5.9904761904761905
27,product_ATSC3i,5.942857142857143
28,product_ATSC7dv,5.904761904761905
29,product_ATSC8dv,5.828571428571428
30,product_EState_VSA6,5.771428571428571
31,product_ATSC3p,5.752380952380952
32,product_PEOE_VSA8,5.742857142857143
33,product_ATSC4i,5.742857142857143
34,product_ATSC5v,5.714285714285714
35,product_AATS0p,5.714285714285714
36,product_ATSC4d,5.695238095238095
37,product_ATSC6p,5.6761904761904765
38,product_ATSC5p,5.666666666666667
39,product_IC2,5.647619047619048
40,product_AATSC0p,5.6380952380952385
41,product_ATSC3dv,5.628571428571429
42,product_ATSC8p,5.561904761904762
43,product_ATSC4se,5.552380952380952
44,rdfred_1_EState_VSA5,5.533333333333333
45,rdfred_1_ATSC5v,5.523809523809524
46,product_ATSC5d,5.523809523809524
47,product_ATSC8se,5.514285714285714
48,rdfred_1_ATSC3dv,5.504761904761905
49,product_ATSC6d,5.457142857142857
50,product_ATSC3d,5.457142857142857
51,rdfred_1_ATSC4i,5.457142857142857
52,product_ATSC7v,5.447619047619048
53,rdfred_1_ATSC4dv,5.438095238095238
54,product_ATSC7d,5.40952380952381
