,0,1,2,3,4,5,6,7,8,9,10
0,M1,L_NULL,M2,L1,A2,A_NULL,A1,A3,M_NULL,O1,O_NULL
1,S3,M9,L3,S1,S2,T8,T2,T4,T3,S_NULL,L17
2,T7,M12,S5,T5,T6,S6,M3,M10,A10,A11,M16
3,M4,L2,M6,M14,L12,M29,L15,S4,M26,M5,L5
4,A16,A13,S10,L4,M18,M7,M8,M27,A19,L6,S8
5,S7,A8,M15,L10,M22,A7,A4,L11,M11,S9,A12
6,L19,A5,A21,M21,A24,L8,M19,A17,A20,A14,A15
7,T1,M13,A25,L20,L7,M17,M20,A9,M23,M24,A22
8,M30,L9,M25,L13,L14,M28,M32,A18,M31,L16,L18
9,A23,A26,A6,A28,A29,A30,A27,T_NULL,None,None,None
10,None,None,None,None,None,None,None,None,None,None,None
