,0,1,2,3,4,5,6,7,8,9,10
0,M1,M_NULL,M2,L_NULL,L1,M3,S4,S7,S2,S1,S5
1,M5,M4,B2,B1,B3,L2,S_NULL,S9,S6,L8,B9
2,M6,L3,B4,B_NULL,B5,L4,M13,L22,B6,B15,L6
3,L7,L13,M11,B8,A_NULL,A1,M21,B13,L23,M12,M14
4,B26,M8,B14,M27,A3,A4,S3,B28,L12,A11,L9
5,L14,L5,A9,B11,B22,B7,M10,B18,B16,L21,B10
6,B25,M9,M7,A17,M16,M24,A6,L19,M19,L20,M18
7,M15,B30,B23,B31,L10,A5,B27,B12,M23,S10,B19
8,B35,B21,M17,A14,B20,B17,L15,B24,L11,A8,M20
9,L16,M26,A7,L18,A10,A12,L17,A13,B33,M22,A15
10,M25,B29,A16,B32,B34,M28,S8,A2,None,None,None
